frame,model_translation_x,model_translation_y,model_translation_z,material_diffuse_r,material_diffuse_g,material_diffuse_b,material_shininess,light_position_x,light_position_y,light_position_z,camera_position_x,camera_position_y,camera_position_z,lookat_target_x,lookat_target_y,lookat_target_z
0,-15.210321159361829,13.843828664717329,9.870163748936108,0.14967630747601912,0.8338005275963443,0.6404054289551498,11.213289150950448,-9.036029695200117,-18.37929907526762,-19.755472150569425,5.0,5.0,15.0,-13.665324731257517,13.232795045908304,9.05120040498851
1,-2.768839441702596,18.664028348612987,-11.24124401449694,0.1412814774874348,0.6251660077426774,0.24727768942659034,11.943812364262929,-10.55642336744822,7.552227709193204,-16.39617066273081,5.0,5.0,15.0,-0.8142654333525097,19.14342454952589,-12.023624973184754
2,15.475499934896163,-11.46745226545784,7.903730777966498,0.8556302675355419,0.7883669853658891,0.594680932240317,12.978718314714202,18.834734832898327,-0.6379941260641431,-8.497838655878,5.0,5.0,15.0,17.418884689514897,-10.774645098290893,7.243352250138178
3,-12.927287204399324,8.91297931408944,5.948324997700265,0.7885203189382749,0.25623460264340836,0.01874616004874685,10.88486525906681,9.537935041819079,6.063649067730623,1.2372448428582636,5.0,5.0,15.0,-11.935339900209822,9.962565652905083,6.225839403643086
4,-17.952220164232312,3.059098084433508,-1.6487224138488088,0.8078091669744922,0.20320990973342024,0.8562409189847914,18.816845945390952,16.211589274783314,-8.994734686462301,-18.92202284678545,5.0,5.0,15.0,-16.391370730783002,3.01890525395678,-0.9654296168866972
5,-16.362895439294654,7.660525713406905,18.17031996579496,0.48273249630426807,0.5600861191046111,0.953062609441618,14.160536719337516,-9.258025589282797,-19.330334272143972,18.927581764449165,5.0,5.0,15.0,-16.291746497035113,7.509875667106025,16.713160688510904
6,-13.019406569957415,18.510258667943774,-6.65360353740696,0.9042773641471279,0.4338018816046485,0.8099593323683634,3.0965528799692286,-11.19177195771185,2.8967594645162187,-1.5596817364184616,5.0,5.0,15.0,-13.804087304198413,18.344318022118763,-8.642685060159502
7,-7.796995655091493,-3.606170462126709,-14.087788921680833,0.582746164634398,0.6762276877689695,0.14166721301192198,19.299409269022576,17.2535732685975,17.138205560020445,-15.634307928917899,5.0,5.0,15.0,-6.998417252411977,-5.040550791193967,-14.02806244167833
8,14.761250015039998,3.6589415407344283,0.18249502256659866,0.6698307126692794,0.2092738691088809,0.007116802963563872,8.842989894462393,-8.971563377757308,-1.5681274512485288,0.7711893570182227,5.0,5.0,15.0,14.995947801555019,2.034862199501258,1.0652296116696167
9,-4.343462262032247,6.215878474069502,-6.435410208657881,0.8801505399123657,0.7559303197446218,0.9707342679869018,15.133331207416063,-18.49239798324912,-11.82888932720488,-14.787385327568497,5.0,5.0,15.0,-6.287866857660929,4.905097019651704,-7.691522771639263
10,-14.223413395704135,5.199489661693839,-17.043556287107297,0.6501517594593885,0.5531339736992552,0.6198045057508283,6.014482340199195,-17.252812525763396,-8.041476006510182,-1.6710383663385855,5.0,5.0,15.0,-12.64993277179922,5.9379527555990865,-17.159277972616064
